顺应,SM B,Conform to (trend),~趋势,shùn yìng
趋势,I SM B,Trend,顺应~,qū shì
企业,E S,Business,,qǐ yè
应用程序,I T,Software application,下载～,yìng yòng chéng xù
即便,I C,Even if / though,~...也,jí biàn
寄生虫,I B E,Parasite,沦为～,jì shēng chóng
瞬息万变,S A,Ever changing,社会～,shùn xī wàn biàn
“明日黄花”,A,Stale and uninteresting,成为～,míng rì huáng huā
淘汰,M,Elimination through selection,时代的～,táo tài
雇主,E S,Employer,,gù zhǔ
青睐,B,Favour / Good graces,获得～；受到～,qīng lài
坐冷板凳,M S A,Bench warmer / Hold an inconsequential job,～的厄运,zuò lěng bǎn dèng
厄运,M ,Misfortune,坐冷板凳的～,è yùn
迎接,M B,Welcome,～挑战,yíng jiē
栋梁,I S,Supporting role,国家未来的～,dòng liáng
谋生,I S E,Make a living,～的技能,móu shēng
提升,S,Promote,自我～；～它当（role),tí shēng
摆脱,I B,Shake off,～贫穷,bǎi tuō
途径,I S,Way (method) / Avenues (method),探索～；有效～,tú jìng
天然资源匮乏,I S E,Deficient in natural resoruces,新加坡～,tiān rán zī yuán kuì fá
变迁,S E,Change,时代的～,biàn qiān
迎合,A AC,Cater to,～时代；～趋势,yíng hé
政策,I S,Policy,教育～,zhèng cè
脱节,S B,Disjointed,和时代～,tuō jié
职场,S E,Workplace,,zhí cháng
充满变数,S E A,Full of varibles,工作上～,chōng mǎn biàn shù
清晰,S A,Clear,～沟通能力,qīng xī
弊端,B S,Bad practices,政治～,bì duān
评估,M,Evaulate,～他的表现,píng gū
占分比例,S A,Proportion of Importance,考试的～,zhān fēn bǐ lì
妨碍,S E,Hinder,～发展,fáng ài
人云亦云,B S A,Echo others views,只能～,rén yún qǐ yún
应声虫,B S A,An echo (person),当～,yīng shēng chóng
灌输,AC S,Instill,价值观的～,guàn shū
世风日下,S B I,Declining public morals,,shì fēng rì xià
康庄大道,B,Sound path,走上～,kāng zhù dà dào
明灯,M,Beacon,脚前的～,míng dēng
“精英犯罪”,N T S,Elite Criminal,～的道路,“ jīng yīng fàn zuì ”
盗取,AC,Steal,～资料,dào qǔ
勒索,AC T,Extort / Blackmail,～钱财,lè suǒ
是非不分,S B,Right or wrong,,shì fēi bù fēn
物欲横流,B I,Materialistic,～的社会,wù yù héng liú
协作,S B,Cooperation,～能力,xié zuò
导致,C,Resulting in,～是非不分,dǎo zhì
坚韧不拔,B,Perseverance,～的精神,jiān rèn bù bá
德育在于行动,N S,VIA,,dé yù zài yú xíng dòng
推陈出新,AC T,Innovate,科技～,tuī chén chū xīn
面世,AC T S,Come out / be produced,产品～,miàn shì
替换周期,T S,Replacement cycle,～越来越短,tì huàn zhōu qī
公吨,M,Metric tonn,几万～,gōng dūn
新电信,N S,Singtel,,xīn diàn xìn
新邮政,N S,Singpost,,xīn yóu zhèng
攀比心理,B I SM,Feel the need to compare with others,,pān bǐ xīn lǐ
脸上贴金,AC B,Praise,让自己～,liǎn shàng tiē jīn
喜新厌旧,B T S,Like the new and dislike the old,,xǐ xīn yàn jiù
购物清单,N,Shopping list,,gòu wù qīng dān
删除,AC,Remove / Strike off,从中～,shān chú
自然降解,EV,Natural decomposition,垃圾无法～,zì rán jiàng jiě
有害气体,E,Harmful gas,释放～,yǒu hài qì tǐ
释放,EV AC,Release,～有害气体,shì fàng
要强心里,B,Ambitious (bad),,yào qiǎng xīn lǐ
小国寡民,I,Small country and few people,新加坡～,xiǎo guó guǎ mín
竞争激烈,E S,Fierce competition,社会～；经济～,jìng zhēng jī liè
脆弱性,S N,Vulnerability,小国的～,cuì ruò xìng
丑陋心里,A B,Unsightly / Ugly way of thinking,不知满足的～,chǒu lòu xīn lǐ
墨守成规,B S,Stick to the rules / customs,文化～,mò shǒu chéng guī
跟风,B S SM,Follow trends,只会～,gēn fēng
从众心理,B S N,Herd mentality,,cóng zhòng xīn lǐ
分一杯羹,S E,Share in the profit,,fēn yī bēi gēng
市场饱和,E N,Market saturation,,shì cháng bǎo hé
跌到谷底,AC A,Fall to rock bottom,一失败就～,diē dào gǔ dǐ
翻身,AC B,Turn over (life),无法～,fān shēn
打入市场,E S,Enter the market,第一个～,dǎ rù shì cháng
市场份额,E N,Market share,最大的～,shì cháng fèn é
开拓市场,E AC,Expand the market,,kāi tuò shì cháng
S T A I,AC S T A,Spring up in great multitudes,如～涌现,yǔ hòu chūn sǔn
