顺应,Conform to (trend),~趋势,shùn yìng,SM B
趋势,Trend,顺应~,qū shì,I SM B
企业,Business,,qǐ yè,E S
应用程序,Software application,下载～,yìng yòng chéng xù,I T
即便,Even if / though,~...也,jí biàn,I C
寄生虫,Parasite,沦为～,jì shēng chóng,I B E
瞬息万变,Ever changing,社会～,shùn xī wàn biàn,S A
“明日黄花”,Stale and uninteresting,成为～,míng rì huáng huā,A
淘汰,Elimination through selection,时代的～,táo tài,M
雇主,Employer,,gù zhǔ,E S
青睐,Favour / Good graces,获得～；受到～,qīng lài,B
坐冷板凳,Bench warmer / Hold an inconsequential job,～的厄运,zuò lěng bǎn dèng,M S A
厄运,Misfortune,坐冷板凳的～,è yùn,M 
迎接,Welcome,～挑战,yíng jiē,M B
栋梁,Supporting role,国家未来的～,dòng liáng,I S
谋生,Make a living,～的技能,móu shēng,I S E
提升,Promote,自我～；～它当（role),tí shēng,S
摆脱,Shake off,～贫穷,bǎi tuō,I B
途径,Way (method) / Avenues (method),探索～；有效～,tú jìng,I S
天然资源匮乏,Deficient in natural resoruces,新加坡～,tiān rán zī yuán kuì fá,I S E
变迁,Change,时代的～,biàn qiān,S E
迎合,Cater to,～时代；～趋势,yíng hé,A AC
政策,Policy,教育～,zhèng cè,I S
脱节,Disjointed,和时代～,tuō jié,S B
职场,Workplace,,zhí cháng,S E
充满变数,Full of varibles,工作上～,chōng mǎn biàn shù,S E A
清晰,Clear,～沟通能力,qīng xī,S A
弊端,Bad practices,政治～,bì duān,B S
评估,Evaulate,～他的表现,píng gū,M
占分比例,Proportion of Importance,考试的～,zhān fēn bǐ lì,S A
妨碍,Hinder,～发展,fáng ài,S E
人云亦云,Echo others views,只能～,rén yún qǐ yún,B S A
应声虫,An echo (person),当～,yīng shēng chóng,B S A
灌输,Instill,价值观的～,guàn shū,AC S
世风日下,Declining public morals,,shì fēng rì xià,S B I
康庄大道,Sound path,走上～,kāng zhù dà dào,B
明灯,Beacon,脚前的～,míng dēng,M
“精英犯罪”,Elite Criminal,～的道路,“ jīng yīng fàn zuì ”,N T S
盗取,Steal,～资料,dào qǔ,AC
勒索,Extort / Blackmail,～钱财,lè suǒ,AC T
是非不分,Right or wrong,,shì fēi bù fēn,S B
物欲横流,Materialistic,～的社会,wù yù héng liú,B I
协作,Cooperation,～能力,xié zuò,S B
导致,Resulting in,～是非不分,dǎo zhì,C
坚韧不拔,Perseverance,～的精神,jiān rèn bù bá,B
德育在于行动,VIA,,dé yù zài yú xíng dòng,N S
推陈出新,Innovate,科技～,tuī chén chū xīn,AC T
面世,Come out / be produced,产品～,miàn shì,AC T S
替换周期,Replacement cycle,～越来越短,tì huàn zhōu qī,T S
公吨,Metric tonn,几万～,gōng dūn,M
新电信,Singtel,,xīn diàn xìn,N S
新邮政,Singpost,,xīn yóu zhèng,N S
攀比心理,Feel the need to compare with others,,pān bǐ xīn lǐ,B I SM
脸上贴金,Praise,让自己～,liǎn shàng tiē jīn,AC B
喜新厌旧,Like the new and dislike the old,,xǐ xīn yàn jiù,B T S
购物清单,Shopping list,,gòu wù qīng dān,N
删除,Remove / Strike off,从中～,shān chú,AC
自然降解,Natural decomposition,垃圾无法～,zì rán jiàng jiě,EV
有害气体,Harmful gas,释放～,yǒu hài qì tǐ,E
释放,Release,～有害气体,shì fàng,EV AC
要强心里,Ambitious (bad),,yào qiǎng xīn lǐ,B
小国寡民,Small country and few people,新加坡～,xiǎo guó guǎ mín,I
竞争激烈,Fierce competition,社会～；经济～,jìng zhēng jī liè,E S
脆弱性,Vulnerability,小国的～,cuì ruò xìng,S N
丑陋心里,Unsightly / Ugly way of thinking,不知满足的～,chǒu lòu xīn lǐ,A B
墨守成规,Stick to the rules / customs,文化～,mò shǒu chéng guī,B S
跟风,Follow trends,只会～,gēn fēng,B S SM
从众心理,Herd mentality,,cóng zhòng xīn lǐ,B S N
分一杯羹,Share in the profit,,fēn yī bēi gēng,S E
市场饱和,Market saturation,,shì cháng bǎo hé,E N
跌到谷底,Fall to rock bottom,一失败就～,diē dào gǔ dǐ,AC A
翻身,Turn over (life),无法～,fān shēn,AC B
